	positive_in_degree	positive_out_degree	negative_in_degree	negative_out_degree
53376	8	0	0	0
54504	3	1	0	0
60909	2	17	1	29
60910	1	2	0	0
60911	3	2	1	0
60912	2	5	0	0
60913	2	3	0	0
60914	1	0	0	0
54166	1	1	2	1
49795	1	40	0	0
58013	2	0	1	0
58014	1	1	0	0
58015	1	1	0	0
33084	4	3	0	1
45007	2	0	0	0
55269	1	3	0	0
60915	2	0	0	0
60916	1	0	0	0
60917	2	0	0	0
60918	4	2	0	0
14844	2	0	0	0
14853	2	0	0	0
14857	1	14	0	6
60920	4	0	0	0
58268	1	0	0	0
38020	0	0	1	0
55194	2	0	0	0
60921	1	0	0	0
60922	1	0	0	0
60923	1	0	0	0
15996	3	12	0	10
15997	3	2	0	0
15999	3	3	0	0
20978	3	0	1	0
55767	1	1	1	0
55769	1	1	0	0
54489	3	0	0	0
60924	1	0	0	0
60925	1	0	0	0
60926	1	0	0	0
15613	1	0	0	0
25870	2	0	0	0
29708	3	0	1	1
60927	1	0	0	0
60928	1	1	0	0
37587	2	5	0	1
60929	1	1	0	0
60930	1	1	0	0
23042	1	7	0	0
38402	3	0	2	0
48180	2	0	1	1
60931	1	0	0	0
60932	1	0	0	0
60933	1	0	0	0
60934	1	0	0	0
60935	1	0	0	0
60936	1	0	0	0
60937	1	0	0	0
60938	1	0	0	0
60939	0	0	1	0
60940	0	0	1	0
60941	0	0	1	0
60942	0	0	1	0
60943	1	0	0	0
14897	0	7	0	0
14898	0	17	0	0
14915	0	0	2	0
14919	0	0	3	0
55374	2	0	0	0
21583	1	0	0	0
21588	0	0	1	0
21589	0	0	1	1
21590	1	3	1	0
21591	0	9	1	0
21592	0	0	1	0
21594	0	0	1	0
21599	0	0	1	0
32432	3	2	1	0
44878	3	3	0	0
57028	1	26	0	9
59786	1	33	0	5
60979	1	1	0	0
60980	2	0	0	0
60981	1	0	0	0
60982	1	3	0	0
60983	1	0	1	0
60984	0	0	1	0
60985	0	0	1	0
29345	2	0	3	0
54183	1	0	1	0
60986	2	0	0	0
60987	0	0	1	0
60988	0	0	1	0
60989	0	0	1	0
14920	0	9	0	2
60990	1	0	0	0
60991	3	5	0	0
36022	0	0	1	0
47623	3	0	0	0
60992	1	0	0	0
60993	2	0	0	0
60994	1	0	1	0
56800	1	0	0	0
56801	1	2	0	19
56802	2	0	0	0
56803	1	11	0	0
36899	6	12	0	2
14942	0	1	0	0
14943	3	1	1	0
60999	1	2	0	0
61000	0	0	1	3
52081	1	0	1	0
61020	1	0	0	0
61021	1	0	0	0
61022	1	0	0	0
61023	1	0	0	0
61024	1	0	0	0
61025	1	0	0	0
61026	1	0	0	0
61027	1	0	0	0
61028	1	0	0	0
61029	1	0	0	0
61030	1	0	0	0
61031	1	0	0	0
61032	1	0	0	0
61033	1	0	0	0
61034	1	0	0	0
61035	1	0	0	0
61036	1	0	0	0
61037	1	0	0	0
61038	1	0	0	0
61039	1	0	0	0
61040	2	0	0	0
61041	1	0	0	0
61042	1	0	0	0
61043	1	0	0	0
61044	1	0	0	0
61045	1	0	0	0
61046	1	0	0	0
61047	1	0	0	0
61048	1	0	0	0
61049	1	0	0	0
61050	1	0	0	0
61051	1	1	0	0
61052	1	0	0	0
61053	1	0	0	0
61054	0	0	1	0
61055	0	0	1	0
61057	2	1	0	1
61058	1	0	0	0
61059	1	5	0	1
61060	1	0	0	0
61061	1	0	0	0
61062	1	0	0	0
41343	3	2	0	0
41726	2	0	0	0
51124	1	0	0	0
51125	3	7	0	5
51126	1	0	0	0
51127	2	1	0	0
51128	2	0	0	0
51129	1	0	0	0
51131	1	0	0	0
51132	0	0	1	1
61063	1	1	0	0
45717	0	0	1	0
61064	1	0	0	0
54625	3	0	0	0
42093	3	4	0	0
61065	1	8	0	21
61066	1	0	0	0
61067	3	0	0	0
61068	1	0	0	0
61069	1	0	0	0
16822	1	2	0	0
58073	5	0	0	0
61071	1	0	0	0
31345	1	0	0	0
31346	1	0	0	0
31348	1	0	0	0
31349	2	1	0	0
31351	0	0	1	0
31352	0	0	1	0
61072	2	5	0	0
61073	1	1	0	0
43642	1	0	0	0
61074	1	1	0	0
29410	1	4	0	1
59907	1	0	0	0
59908	1	0	0	0
15020	0	11	0	1
15021	1	0	0	0
15022	1	0	0	0
15023	1	0	0	0
50676	4	2	0	0
61075	2	1	0	1
46031	1	0	0	0
46032	1	0	0	0
46033	1	0	0	0
32697	2	0	0	0
27270	4	0	2	0
50204	5	0	0	0
15054	0	2	0	0
15066	0	0	2	0
15075	0	0	2	0
15076	0	4	1	0
61076	3	0	0	0
61077	1	0	0	0
61078	1	0	0	0
29181	1	3	0	0
61079	1	0	0	0
61086	1	0	0	0
61087	1	1	0	0
61088	1	0	0	0
21281	2	1	0	0
21283	1	2	0	0
21284	1	3	0	3
19958	1	0	1	0
52701	1	1	0	0
36352	2	0	1	0
61089	1	0	0	0
61090	1	0	0	0
61091	2	0	0	0
61092	0	0	1	0
61093	0	0	1	0
61094	3	2	1	0
61095	1	0	0	0
29139	2	0	1	0
52100	3	4	0	1
52101	1	0	0	0
52102	1	17	0	0
15092	1	1	0	1
15094	0	3	0	0
15098	1	0	1	0
15100	2	0	0	0
15102	1	0	0	0
15103	1	1	0	0
15108	1	2	0	0
15110	1	0	1	0
15111	1	0	0	0
15112	1	0	0	0
15118	1	0	0	0
15119	1	0	0	0
15121	1	0	0	0
15126	2	0	0	0
15128	4	0	0	0
15132	2	1	2	0
15135	1	0	0	0
15144	1	0	0	0
15145	1	0	0	0
15151	1	0	0	0
15152	2	0	0	0
61098	1	0	1	0
35146	2	0	1	0
40365	2	0	0	0
54756	0	0	2	0
60023	3	2	1	0
61099	1	1	0	0
61100	0	0	1	0
61101	1	0	0	0
58412	2	0	0	0
58468	2	3	0	3
61102	1	0	0	0
61103	1	1	0	0
61104	1	0	0	0
61105	1	0	0	0
61106	1	0	0	0
61107	1	0	0	0
61108	1	0	0	0
59780	1	0	0	0
59781	2	0	1	0
50173	1	0	0	0
50174	1	1	0	0
19469	1	1	0	0
32468	2	9	0	4
57629	2	11	1	62
61109	2	6	0	0
61110	2	3	0	0
61111	2	1	0	0
61112	1	1	0	0
61113	2	2	0	0
61114	4	0	0	0
30143	0	0	2	0
32809	4	0	0	0
32811	0	0	1	0
32812	0	0	1	0
32814	0	0	1	0
32816	0	0	1	0
32818	1	0	1	0
32821	0	0	1	0
32822	1	0	1	0
32825	0	0	1	0
32826	0	0	1	0
32828	0	1	1	0
32829	0	0	1	0
32830	0	0	1	0
32832	0	0	1	0
15158	0	5	0	0
15160	2	0	0	0
17979	4	0	0	0
15961	1	2	0	0
61120	1	0	0	0
15177	1	0	0	0
15178	1	0	0	0
15180	1	0	0	0
15182	2	0	0	0
15185	1	0	0	0
15186	1	0	0	0
15191	2	0	0	0
15192	0	0	1	0
15194	0	0	1	0
15196	1	2	2	2
52197	2	0	0	0
52198	0	0	1	0
52193	2	1	0	0
52194	1	0	0	0
61121	0	0	1	3
15199	2	0	0	0
15200	1	20	0	1
61122	1	0	0	0
61123	1	2	0	0
20633	1	0	1	0
54466	2	1	0	0
61124	1	0	0	0
61125	0	0	2	0
15207	6	0	0	0
15217	2	0	0	0
23307	2	4	0	0
26456	4	0	0	0
46102	1	0	0	0
27664	3	3	0	0
27666	3	4	0	0
27669	3	0	0	0
27671	1	0	0	0
30279	1	0	1	0
44925	1	0	0	0
15220	5	0	0	0
15223	1	0	0	1
15225	1	0	0	0
15226	1	1	0	0
15227	1	0	0	0
15236	1	0	0	0
15237	2	3	0	0
15241	1	0	0	0
15242	4	0	0	0
15251	1	3	1	3
15255	2	0	0	0
15257	1	0	0	0
15258	1	0	0	0
15260	0	0	1	0
15261	0	2	1	0
15264	0	0	1	0
15265	0	0	1	0
15268	0	0	1	0
15271	0	0	1	0
15278	0	0	1	0
15280	0	0	1	0
15282	1	0	1	0
15283	0	1	1	0
15285	0	0	1	0
15287	0	2	1	0
15290	0	0	1	0
15298	3	0	1	0
61126	1	2	0	0
61127	1	0	0	0
61128	2	0	0	0
39127	3	0	0	0
39128	3	1	0	0
61129	3	0	0	0
61130	1	1	0	0
16538	1	0	0	0
16541	2	0	0	0
16542	1	0	0	0
16543	2	1	0	0
16545	1	23	0	0
16548	1	0	0	0
16549	1	0	0	0
61131	1	1	0	0
19935	0	0	3	0
28782	3	18	0	0
54272	1	4	0	0
54273	3	1	0	0
54274	2	0	0	0
54275	4	0	0	0
54276	2	0	0	0
61138	1	0	0	0
61139	2	0	0	0
58395	2	0	0	0
57742	4	0	0	0
61140	2	3	0	0
61141	1	1	0	0
61142	3	4	0	0
61143	2	1	0	0
61144	1	0	0	0
61145	1	0	0	0
61146	1	0	0	0
54444	5	0	0	0
33158	1	0	0	0
33159	1	0	0	0
33161	4	7	0	0
33162	1	1	0	0
61147	1	0	0	0
55054	1	2	0	4
22141	2	1	0	0
61148	1	0	0	0
61149	0	0	1	0
61150	1	0	2	0
61151	5	0	0	0
61152	1	2	0	0
55220	5	0	0	0
61153	1	6	0	1
61154	1	1	0	0
15303	1	21	0	0
15304	3	0	0	0
15305	1	2	0	0
61155	1	0	0	0
15312	1	0	0	0
15314	1	0	0	0
61156	1	0	0	0
61157	1	0	0	0
61158	1	14	1	6
61159	1	0	0	0
61160	2	1	1	0
61161	2	0	0	0
61162	1	0	0	0
34144	2	15	0	2
35727	2	0	0	0
44775	2	0	1	0
52577	5	1	0	0
54781	1	3	1	0
55882	2	3	0	0
61163	1	6	0	3
61164	1	2	0	0
61165	1	0	0	0
61166	1	0	0	0
61167	1	0	0	0
61168	1	0	0	0
61169	2	1	0	0
61170	1	0	0	0
61171	0	0	1	0
61172	0	0	1	0
61173	0	0	2	0
61174	0	2	1	0
61175	0	0	1	0
30626	5	0	0	0
44517	2	1	0	0
45685	2	1	0	0
61176	3	0	0	0
61177	1	0	0	0
61178	1	0	0	0
61179	1	0	0	0
61180	1	0	0	0
61181	2	0	0	0
61182	1	0	0	0
61183	2	1	0	0
61184	2	0	0	0
38352	1	0	0	0
37359	1	0	0	0
37362	1	0	0	0
37363	1	0	0	0
17331	1	0	0	0
17332	1	0	0	0
61185	1	0	0	0
45150	1	0	0	0
55404	1	2	0	0
25375	1	0	1	0
15331	0	1	0	0
15332	0	10	0	0
15333	0	4	0	0
59385	2	0	0	0
54860	1	1	0	0
15343	1	2	0	1
15344	2	2	0	0
61199	1	0	0	0
61200	1	0	0	0
61201	2	0	0	0
61202	1	1	2	0
61203	1	6	0	0
61204	1	0	0	0
61205	1	0	0	0
61206	1	1	0	1
61207	1	0	0	0
61208	1	0	0	0
25519	1	2	1	0
25521	1	0	0	0
25526	3	0	0	0
61209	1	0	0	0
34359	3	31	1	0
61210	1	0	0	0
61211	1	0	0	0
61212	1	0	0	0
61213	1	0	0	0
61214	1	0	0	0
61215	3	0	0	0
45218	1	6	0	0
61216	1	0	0	0
61217	2	11	0	8
61218	1	0	0	0
50179	2	0	0	0
50181	2	0	0	0
56795	1	1	0	0
35204	4	1	0	0
58532	1	0	0	0
44839	4	2	0	0
61219	1	0	0	0
61220	1	2	0	0
61221	1	0	1	0
38403	5	0	0	0
55011	2	5	0	0
55560	1	1	0	0
61222	1	0	0	0
61223	0	0	1	0
52000	1	0	1	0
52001	3	0	0	1
52002	1	1	0	0
52003	1	0	1	0
52004	1	0	0	0
52006	0	12	1	1
54372	4	0	0	0
61224	5	1	0	1
61225	1	0	0	0
61226	1	0	0	0
61227	0	0	2	0
61228	1	0	0	0
61229	1	0	0	0
61230	1	1	0	0
61231	1	0	0	0
61232	5	0	0	0
59747	2	2	0	200
61233	1	0	0	1
61234	0	0	1	0
43796	1	0	0	0
43797	2	10	0	1
61235	2	2	0	0
61236	2	0	0	0
45690	1	0	0	0
23594	2	0	0	0
59372	2	0	0	0
58367	2	1	0	0
61240	1	1	0	0
61241	2	0	0	0
61242	0	0	1	0
61243	0	1	1	1
61244	0	1	2	0
58967	5	2	0	0
61245	1	0	0	0
61246	1	2	0	0
61247	2	1	0	0
61248	1	9	0	0
61249	0	2	1	1
20130	1	40	0	0
61250	1	0	0	0
44278	1	0	0	0
44279	1	0	0	0
44033	1	0	0	0
44034	2	12	0	5
61251	0	0	2	0
61252	0	0	1	0
61253	1	0	0	0
61254	3	1	0	0
46290	2	2	1	0
46291	2	0	0	0
46292	1	0	1	0
46293	0	0	1	0
46294	0	0	1	0
46295	0	0	1	0
15477	2	0	0	0
44374	7	0	0	0
52671	2	0	0	0
55246	2	18	1	0
38737	1	0	0	0
61255	1	0	0	0
33818	2	32	0	1
45802	1	0	0	0
45803	1	0	0	0
45804	1	0	0	0
21625	2	6	0	0
61256	3	8	0	0
61257	2	0	0	0
61258	1	0	0	0
43225	1	0	0	0
41897	1	0	0	0
41902	1	0	0	0
28107	1	1	0	0
28110	2	0	0	0
28111	1	0	0	0
28115	1	0	0	0
28117	0	0	1	0
28118	0	3	1	1
15503	0	1	0	0
15507	2	0	0	0
15509	1	0	0	0
15510	1	0	1	0
15511	1	0	0	0
15512	1	0	0	0
15519	1	1	0	0
15520	2	0	0	0
15524	2	0	0	0
15528	3	0	0	0
15530	2	0	0	0
15537	1	0	0	0
15540	3	0	0	0
15541	1	0	1	0
15549	0	0	1	0
15552	0	0	1	0
15559	0	0	1	0
15562	0	0	1	0
15563	0	0	1	0
15565	0	0	1	0
15566	0	0	1	0
15567	0	0	1	0
15569	3	0	1	0
61262	1	3	0	0
61263	1	0	0	0
61264	1	0	0	0
33778	1	0	0	0
33779	1	0	0	0
61265	2	1	0	0
61266	1	1	0	0
61267	1	0	0	0
61268	1	1	0	0
61269	1	0	0	0
34889	1	0	2	0
61270	0	0	1	0
61271	0	0	1	1
61272	0	0	1	0
48603	3	0	2	0
61273	1	0	0	0
61274	2	0	0	0
61275	1	1	0	0
61276	1	0	0	0
15571	0	14	0	1
15572	1	0	0	0
15573	1	0	0	0
61277	0	0	1	0
32640	5	4	0	0
34024	0	3	1	1
57723	1	0	0	0
57724	0	0	1	0
57725	0	0	1	0
57726	0	0	1	0
57727	0	0	1	0
61278	1	0	0	0
18383	1	0	0	0
22082	1	0	0	0
22087	1	0	1	0
61279	3	0	0	0
61280	1	0	0	0
61281	1	0	0	0
34187	3	0	0	0
34188	1	0	0	0
34190	1	0	0	0
34191	1	1	0	0
34193	4	4	0	0
34194	1	2	0	0
34195	1	0	0	0
46159	2	2	0	0
46161	0	0	1	1
15614	0	3	0	0
15618	1	8	0	0
15620	1	0	1	0
15621	2	1	0	0
15624	1	0	0	0
15626	1	1	0	0
15628	2	0	0	0
15629	1	1	0	0
15630	5	17	2	1
61291	0	0	1	0
61292	1	1	0	0
61293	1	1	0	0
16092	1	11	0	0
16932	2	0	1	0
18470	2	0	0	0
20854	7	0	0	0
23271	2	0	0	0
24698	7	3	0	0
35278	2	9	0	0
44790	2	0	0	0
49374	2	0	0	0
49575	1	0	1	0
60171	1	2	0	0
60172	1	0	0	0
60173	1	0	0	0
60174	1	0	0	0
60175	1	2	0	0
60176	1	0	0	0
60177	2	0	0	0
60178	1	0	0	0
60179	1	0	0	0
60180	1	0	0	0
61294	1	0	0	0
21828	1	3	0	0
61295	1	1	0	0
15647	10	13	0	0
15648	4	0	0	0
15649	1	0	0	0
15650	2	1	0	0
15651	6	0	0	0
15654	2	1	0	0
15655	3	0	0	0
15656	1	0	0	0
15657	1	0	0	0
15658	6	0	0	0
15662	1	0	0	0
15664	6	0	0	0
15665	2	0	0	0
15667	5	0	0	0
15668	5	0	0	0
15669	1	0	0	0
15670	9	0	0	0
15671	1	0	0	0
15672	1	0	0	0
15673	3	0	0	0
15676	3	3	0	0
15677	1	1	0	0
15679	1	0	0	0
15681	3	2	0	0
15683	1	0	0	0
15688	2	0	0	0
15693	2	0	0	0
15694	8	0	0	0
15696	1	0	0	0
15697	1	0	0	0
15698	1	0	0	0
15699	1	0	0	0
15701	1	0	0	0
15703	1	0	0	0
15704	6	7	0	1
15705	1	0	0	0
15709	2	0	0	0
15711	0	0	1	0
15712	0	0	1	0
61307	2	0	0	0
27803	6	2	1	0
61308	2	0	0	0
61309	1	0	0	0
61310	1	0	0	0
61311	1	1	0	0
52108	2	0	0	0
52109	1	1	0	0
61312	1	0	0	0
59953	3	0	0	0
61313	1	0	0	0
53546	1	20	0	2
15717	0	4	0	1
61318	1	0	0	0
61322	1	0	0	1
61323	1	1	0	0
15740	0	1	0	0
15741	0	3	0	0
49799	4	0	0	0
54484	2	21	0	0
54485	2	1	0	0
54486	2	3	0	0
54487	5	0	0	0
54488	2	0	0	0
55485	1	0	0	0
55486	1	0	0	0
61324	1	0	0	0
61325	0	0	1	2
61326	1	0	0	0
54635	0	19	1	2
56119	1	0	1	0
59343	1	0	0	0
59344	2	3	0	0
59345	1	0	0	0
59346	2	1	0	0
61327	1	0	0	0
61328	1	1	0	0
17147	2	6	1	0
61329	1	2	0	0
61330	1	0	0	0
15763	0	3	0	0
15764	0	1	0	0
15769	1	4	0	0
15771	1	0	0	0
15774	3	7	0	5
15775	3	3	0	0
15787	1	0	1	0
15788	2	12	0	0
61340	1	0	0	0
61341	1	7	0	2
61342	1	1	0	0
61343	1	0	0	0
61344	2	0	0	0
61345	2	0	0	0
55025	1	0	0	0
15789	0	7	0	1
41574	2	1	0	0
48600	1	0	0	0
48601	1	0	0	0
58360	0	0	3	0
15796	1	0	0	0
61346	2	0	0	0
61347	1	1	0	1
15804	1	1	0	0
15811	1	0	0	0
15814	1	0	0	0
54582	2	0	1	0
61348	1	0	0	0
15816	0	1	0	0
55624	4	0	0	0
15831	1	7	0	0
15840	1	0	0	0
15841	0	0	1	0
22945	1	0	2	0
38243	1	0	0	0
38244	1	0	0	0
32716	2	0	0	0
35840	1	10	0	3
61349	1	0	0	0
35924	2	0	0	0
43773	1	8	0	0
45620	1	0	0	0
45621	1	0	0	0
45622	2	1	0	0
45623	0	8	1	0
45624	0	7	1	1
19901	1	1	0	1
61350	3	1	0	0
61351	1	0	0	0
61352	1	1	0	0
61353	1	0	0	0
61354	1	0	0	0
61355	1	1	0	0
24295	5	0	0	0
29331	2	7	0	1
29338	2	0	0	0
29339	1	0	0	0
29340	1	0	0	0
29342	1	0	0	0
29347	1	66	1	2
29348	0	0	2	0
29350	0	5	1	1
29351	1	2	1	0
61356	1	0	0	0
61357	1	1	0	0
17204	0	2	4	1
61358	0	0	1	0
61359	0	0	1	0
57720	2	1	0	0
57721	2	0	0	0
57722	1	0	2	0
29470	1	0	1	0
35541	0	0	2	0
35787	2	0	1	0
35788	3	0	1	0
35789	2	0	0	0
35790	1	0	0	0
35791	4	0	0	0
35792	1	0	0	0
35793	1	1	1	0
35796	1	0	0	0
35797	1	0	0	0
35803	0	0	2	0
51979	1	2	0	0
33397	1	1	1	1
33398	1	0	0	0
61360	1	3	0	0
61361	1	0	0	0
22911	8	0	0	0
35610	2	0	0	0
37199	3	1	0	0
38366	2	0	0	0
33176	3	0	0	0
55083	2	0	1	0
61362	1	0	0	0
61363	0	0	1	0
61364	2	1	1	0
16768	4	1	3	1
16778	3	2	0	0
57753	0	0	1	0
55870	0	0	3	0
59930	2	0	1	0
61365	1	0	0	0
61366	1	0	0	0
61367	1	0	0	0
61368	1	0	0	0
57955	1	4	1	0
57956	1	0	0	0
57957	1	0	0	0
57958	1	0	0	0
57959	1	0	0	0
19163	5	2	0	0
20855	1	8	0	2
20858	1	1	0	0
20859	2	0	0	0
20862	0	0	2	0
61369	1	0	0	0
58347	1	0	0	0
58348	1	0	0	0
58349	3	1	0	0
58350	1	2	0	0
58351	1	0	0	0
61370	1	0	0	0
61371	1	0	0	0
61372	0	0	1	0
55273	3	0	0	0
61373	1	0	0	0
61374	0	0	1	0
16859	3	0	0	0
28484	4	0	0	0
32845	2	0	0	0
61375	1	0	0	0
61376	2	0	0	0
61377	1	0	0	0
61378	2	0	0	0
61379	1	0	0	0
61380	0	3	1	7
50391	1	1	0	0
50392	1	0	0	0
50393	1	0	0	0
50394	1	0	0	0
50395	0	0	1	0
61381	2	0	0	0
61382	1	0	0	0
34789	1	0	0	0
34792	0	1	1	0
34793	0	0	3	0
31051	3	0	2	0
42502	2	0	0	0
61383	2	1	0	0
61384	1	0	0	0
61385	2	0	0	0
27850	1	90	0	4
30128	4	11	0	0
47430	1	4	0	0
47432	1	0	0	0
30190	2	0	0	3
30191	2	2	0	1
38532	1	0	1	0
30970	1	0	0	0
30973	2	0	0	0
30974	2	0	0	0
30976	1	0	0	0
30977	2	0	0	0
30979	5	13	1	2
30980	2	0	0	0
30984	1	0	0	0
31033	1	1	1	0
54612	1	0	0	0
54613	1	0	0	0
54614	1	1	0	0
54615	2	1	0	0
54616	0	0	1	0
56871	1	0	0	0
56873	1	0	0	0
56874	1	0	0	0
30624	3	1	0	0
30625	1	0	0	0
30627	1	0	0	0
30628	1	0	0	0
30629	4	1	0	0
30631	1	0	0	0
30634	2	0	0	0
30635	1	0	0	0
30639	1	0	0	0
30640	1	0	0	0
30641	1	0	0	0
17825	1	1	0	0
17826	0	3	1	5
17827	0	1	1	5
17828	0	4	1	5
61386	1	0	0	0
61387	2	0	0	0
61388	1	0	0	0
61389	1	0	0	0
61390	1	0	0	0
61391	1	0	0	0
61392	1	1	0	0
61393	2	0	0	0
61394	1	1	0	0
61395	1	2	0	2
40523	2	0	0	0
40524	1	13	0	2
40525	1	0	1	0
40526	0	0	1	0
40528	2	6	1	0
54845	1	0	0	0
54846	2	2	0	0
54847	2	1	0	4
54848	2	0	0	0
54849	1	2	0	0
54850	1	0	0	0
20348	2	0	1	0
27870	0	9	1	0
34794	1	2	0	0
34797	2	0	1	0
34799	0	0	1	0
34800	0	0	1	0
34801	1	1	1	1
34802	0	0	1	0
34805	0	0	1	0
34806	0	0	1	0
34807	0	0	1	0
34808	0	0	1	0
34811	0	0	1	0
34813	2	1	2	0
34814	0	0	1	0
34817	0	0	1	0
34819	0	0	2	0
34820	1	0	2	0
34821	0	0	1	0
29969	1	0	0	0
29970	1	0	0	0
29974	2	0	0	1
29976	1	0	0	0
29977	0	1	1	0
34827	2	0	0	0
34829	7	0	0	0
34830	0	0	1	0
55156	2	2	0	1
32973	2	0	1	0
16950	1	5	0	0
22585	2	4	0	3
27658	4	2	0	0
52071	1	0	0	0
52072	1	0	0	0
52074	3	0	0	0
52075	2	1	0	0
52076	1	0	0	0
52077	3	11	1	17
52079	2	0	0	0
52080	2	0	0	0
25499	2	0	0	0
41839	1	0	0	0
61396	5	2	0	0
61397	1	5	0	0
61398	1	0	0	0
43948	3	0	1	0
54800	1	0	4	0
55934	3	0	1	0
61399	1	1	0	0
32910	2	22	0	2
32913	2	0	0	0
59966	1	0	0	0
59967	1	0	0	0
59968	1	1	0	0
60319	2	0	0	0
36340	2	1	0	0
58170	2	0	1	0
61400	1	0	0	0
61401	2	1	0	0
61402	1	0	0	0
61403	1	2	0	0
41699	1	0	1	0
43871	1	0	1	0
58272	2	1	0	0
58273	1	0	0	0
58274	1	0	0	0
58275	2	2	0	0
58276	2	2	0	0
18962	4	0	0	0
18969	1	0	0	0
18971	1	0	0	0
18976	2	0	0	0
18977	3	1	0	0
18983	1	3	0	0
54793	3	1	0	0
61404	2	0	0	0
61405	2	1	0	0
61406	1	2	1	0
61407	0	0	1	0
61408	1	2	0	0
61409	2	1	0	0
61410	1	0	0	0
61411	1	0	0	0
61412	2	5	0	4
61413	1	1	0	0
61414	1	0	0	0
22478	3	0	0	0
46202	3	0	0	0
58504	0	0	1	0
23975	2	14	1	10
55774	2	0	0	0
61415	1	0	0	0
61416	1	0	0	0
61417	1	1	1	1
61418	1	0	0	0
61419	1	0	0	0
61420	1	0	0	0
20705	5	4	1	1
61421	2	4	0	0
61422	1	0	0	0
61423	2	0	0	0
32920	3	4	0	0
33938	2	0	0	0
33939	1	0	0	0
33940	1	0	0	0
30111	2	0	0	0
31233	3	2	1	0
37253	2	0	0	0
42499	3	0	2	0
42503	3	2	0	0
42507	2	6	0	0
42509	2	0	0	0
42510	1	0	0	0
42511	1	2	1	1
42513	2	2	0	0
42514	1	0	0	0
61424	9	12	0	1
61425	7	10	0	0
61426	1	0	0	1
61427	1	0	0	0
61428	5	2	0	0
61429	1	0	0	0
61430	1	0	0	0
61431	1	0	1	0
61432	1	2	0	0
61433	1	0	0	0
61434	1	0	0	0
61435	1	0	0	1
33783	2	1	1	0
61436	4	0	0	0
15957	0	2	0	0
18549	5	0	0	0
61011	1	0	0	0
61012	1	0	0	0
61013	1	0	0	0
61014	1	0	0	0
61015	1	0	0	0
61016	3	6	1	2
61017	2	0	0	0
61018	3	0	0	0
61019	1	0	0	0
61455	1	0	0	0
55862	1	0	1	0
55863	1	1	0	0
55864	0	0	1	0
55865	0	0	1	0
33739	6	1	0	0
15966	1	0	0	1
15967	1	1	0	0
15975	0	1	0	0
15978	2	0	0	0
15979	1	0	0	0
15981	1	3	0	0
29980	2	1	0	0
47620	1	0	0	0
47621	1	0	0	0
47622	1	0	0	0
47624	1	0	0	0
47625	0	0	1	0
57145	3	0	0	0
61457	1	0	0	0
15984	0	2	0	0
61458	1	2	0	0
61459	1	0	0	0
61460	1	0	0	0
61461	1	0	0	0
27058	1	10	0	0
37704	1	0	1	0
37705	1	0	0	0
37707	1	1	0	0
37709	1	2	0	0
37710	1	0	0	0
37712	1	0	0	0
37714	0	0	1	0
37715	0	2	1	0
37716	0	0	1	0
37717	0	0	1	0
37720	0	0	1	0
37721	0	0	1	0
30061	1	13	0	5
15992	0	8	0	0
61462	1	1	0	0
61463	1	0	0	0
61464	0	0	1	0
45879	1	0	0	0
45881	1	0	0	0
45882	4	0	0	0
32550	4	4	0	0
61465	1	0	0	0
61466	1	0	0	0
32447	1	21	0	2
33680	7	0	0	0
34738	1	6	1	0
47602	1	0	1	0
55313	5	0	0	0
55602	1	12	0	0
55790	1	0	0	0
55791	1	0	0	0
55792	1	0	0	0
55793	1	0	0	0
55794	1	0	0	0
55795	1	0	1	0
55796	1	0	0	0
55798	1	0	0	0
55799	0	0	1	0
55800	0	0	1	0
55801	0	0	1	0
55802	0	0	1	0
35904	2	0	0	0
35906	2	0	0	0
61467	1	1	0	0
61468	1	2	0	0
61469	1	0	0	0
16021	1	2	0	0
16024	1	0	0	0
46228	2	0	0	0
46229	1	1	0	0
46230	1	6	3	3
46231	0	0	2	0
46232	0	1	1	1
46233	0	0	1	0
46234	1	1	1	0
46235	1	0	1	2
46236	0	0	1	0
46238	0	0	1	0
56763	2	24	0	0
61497	1	0	0	0
61498	1	0	0	0
61499	1	0	0	0
44705	5	1	0	0
54561	1	3	0	1
54562	2	5	0	1
54563	1	0	0	0
54564	0	0	1	0
54565	0	0	1	0
61500	1	1	0	1
16032	1	0	0	0
16033	1	15	0	5
16035	2	0	0	0
61502	1	0	0	0
61503	1	0	0	0
24793	2	18	0	2
35714	1	3	0	0
35715	1	10	0	13
35716	1	16	0	4
16041	0	32	0	0
48927	3	2	0	0
61510	2	1	0	1
61511	1	1	0	0
16050	0	14	0	0
61512	1	0	1	0
16052	2	5	0	0
44977	1	0	0	0
44978	2	0	0	0
44979	1	1	0	1
16054	0	3	0	0
16066	1	0	0	0
16067	1	0	0	0
36006	2	2	0	1
45012	1	0	0	0
45015	1	0	0	0
45016	1	0	0	0
45018	1	0	0	0
16073	7	31	1	2
16074	1	0	0	0
52103	1	0	0	0
52104	1	0	0	0
52105	1	0	0	0
61516	2	0	0	0
61517	1	0	0	0
61518	1	0	0	0
35192	3	0	0	0
16095	1	0	0	0
16096	1	0	0	0
51153	8	8	0	0
54108	1	0	0	0
54110	1	0	0	0
16098	0	2	0	0
16099	2	31	0	1
16101	1	0	0	0
16105	1	0	0	0
61534	1	0	0	0
31100	2	22	3	4
16107	0	2	0	0
16108	0	7	0	1
